REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2015,40,X,2.58875,X,X,X,X,X,X,272,28,10507
States,Alaska,2015,40,X,0.627353,X,X,X,X,X,X,10,7,1594
States,Arizona,2015,40,X,1.23609,X,X,X,X,X,X,290,52,23461
States,Arkansas,2015,40,X,1.14799,X,X,X,X,X,X,46,14,4007
States,California,2015,40,X,1.38064,X,X,X,X,X,X,558,125,40416
States,Colorado,2015,40,X,0.51656,X,X,X,X,X,X,17,5,3291
States,Connecticut,2015,40,X,1.0157,X,X,X,X,X,X,55,17,5415
States,Delaware,2015,40,X,0.0994777,X,X,X,X,X,X,4,16,4021
States,District of Columbia,2015,40,0,0,X,X,X,X,X,X,0,0,0
States,Georgia,2015,40,X,1.4234,X,X,X,X,X,X,385,30,27048
States,Hawaii,2015,40,X,2.33303,X,X,X,X,X,X,51,20,2186
States,Idaho,2015,40,X,0.404263,X,X,X,X,X,X,11,8,2721
States,Illinois,2015,40,X,1.63805,X,X,X,X,X,X,833,80,50853
States,Indiana,2015,40,X,0.923388,X,X,X,X,X,X,64,31,6931
States,Iowa,2015,40,X,0.433735,X,X,X,X,X,X,9,9,2075
States,Kansas,2015,40,X,1.12164,X,X,X,X,X,X,90,35,8024
States,Kentucky,2015,40,X,0.236898,X,X,X,X,X,X,57,24,24061
States,Louisiana,2015,40,X,1.81531,X,X,X,X,X,X,804,73,44290
States,Maine,2015,40,X,1.1742,X,X,X,X,X,X,67,28,5706
States,Maryland,2015,40,X,1.09231,X,X,X,X,X,X,82,32,7507
States,Massachusetts,2015,40,X,0.790429,X,X,X,X,X,X,185,44,23405
States,Michigan,2015,40,X,0.679905,X,X,X,X,X,X,164,66,24121
States,Minnesota,2015,40,X,0.597213,X,X,X,X,X,X,36,17,6028
States,Mississippi,2015,40,X,2.15856,X,X,X,X,X,X,428,53,19828
States,Missouri,2015,40,X,1.11897,X,X,X,X,X,X,87,17,7775
States,Montana,2015,40,X,0.129618,X,X,X,X,X,X,4,8,3086
States,Nebraska,2015,40,X,0.428878,X,X,X,X,X,X,12,16,2798
States,Nevada,2015,40,X,0.62855,X,X,X,X,X,X,83,28,13205
States,New Hampshire,2015,40,X,0.0828672,X,X,X,X,X,X,4,22,4827
States,New Jersey,2015,40,X,0.896943,X,X,X,X,X,X,98,23,10926
States,New Mexico,2015,40,X,0.971393,X,X,X,X,X,X,109,26,11221
States,New York,2015,40,X,0.588433,X,X,X,X,X,X,70,80,11896
States,North Carolina,2015,40,X,0.835925,X,X,X,X,X,X,129,48,15432
States,North Dakota,2015,40,X,0.60652,X,X,X,X,X,X,8,9,1319
States,Ohio,2015,40,X,0.54476,X,X,X,X,X,X,97,67,17806
States,Oklahoma,2015,40,X,0.937038,X,X,X,X,X,X,57,28,6083
States,Oregon,2015,40,X,0.609618,X,X,X,X,X,X,27,15,4429
States,Pennsylvania,2015,40,X,1.30656,X,X,X,X,X,X,203,54,15537
States,Rhode Island,2015,40,X,0.110072,X,X,X,X,X,X,6,16,5451
States,South Carolina,2015,40,X,0.539773,X,X,X,X,X,X,19,11,3520
States,South Dakota,2015,40,X,0.981962,X,X,X,X,X,X,92,34,9369
States,Tennessee,2015,40,X,0.734619,X,X,X,X,X,X,72,53,9801
States,Texas,2015,40,X,3.1748,X,X,X,X,X,X,1016,126,32002
States,Utah,2015,40,X,1.05777,X,X,X,X,X,X,206,44,19475
States,Vermont,2015,40,X,0.222519,X,X,X,X,X,X,5,7,2247
States,Virginia,2015,40,X,1.33996,X,X,X,X,X,X,1197,128,89331
States,Washington,2015,40,X,0.441684,X,X,X,X,X,X,32,47,7245
States,West Virginia,2015,40,X,1.02553,X,X,X,X,X,X,184,50,17942
States,Wisconsin,2015,40,X,1.89587,X,X,X,X,X,X,134,23,7068
States,Wyoming,2015,40,X,0.418318,X,X,X,X,X,X,19,21,4542
States,Alabama,2015,41,X,2.48819,X,X,X,X,X,X,258,28,10369
States,Alaska,2015,41,X,1.17302,X,X,X,X,X,X,20,8,1705
States,Arizona,2015,41,X,1.44689,X,X,X,X,X,X,360,54,24881
States,Arkansas,2015,41,X,0.863984,X,X,X,X,X,X,35,15,4051
States,California,2015,41,X,1.5661,X,X,X,X,X,X,653,138,41696
States,Colorado,2015,41,X,0.62028,X,X,X,X,X,X,23,6,3708
States,Connecticut,2015,41,X,0.805524,X,X,X,X,X,X,49,16,6083
States,Delaware,2015,41,X,0.0235738,X,X,X,X,X,X,1,16,4242
States,District of Columbia,2015,41,X,0.108932,X,X,X,X,X,X,1,1,918
States,Georgia,2015,41,X,1.17165,X,X,X,X,X,X,360,30,30726
States,Hawaii,2015,41,X,1.79028,X,X,X,X,X,X,35,20,1955
States,Idaho,2015,41,X,0.354484,X,X,X,X,X,X,10,9,2821
States,Illinois,2015,41,X,1.7586,X,X,X,X,X,X,908,80,51632
States,Indiana,2015,41,X,1.1695,X,X,X,X,X,X,79,30,6755
States,Iowa,2015,41,X,0.28746,X,X,X,X,X,X,8,10,2783
States,Kansas,2015,41,X,1.02605,X,X,X,X,X,X,78,35,7602
States,Kentucky,2015,41,X,0.307777,X,X,X,X,X,X,78,27,25343
States,Louisiana,2015,41,X,1.81375,X,X,X,X,X,X,840,71,46313
States,Maine,2015,41,X,0.893655,X,X,X,X,X,X,50,28,5595
States,Maryland,2015,41,X,0.792553,X,X,X,X,X,X,63,30,7949
States,Massachusetts,2015,41,X,0.643767,X,X,X,X,X,X,134,43,20815
States,Michigan,2015,41,X,0.682377,X,X,X,X,X,X,172,70,25206
States,Minnesota,2015,41,X,1.17073,X,X,X,X,X,X,60,16,5125
States,Mississippi,2015,41,X,2.57163,X,X,X,X,X,X,473,53,18393
States,Missouri,2015,41,X,1.26363,X,X,X,X,X,X,102,16,8072
States,Montana,2015,41,X,0.110092,X,X,X,X,X,X,3,8,2725
States,Nebraska,2015,41,X,0.451722,X,X,X,X,X,X,16,16,3542
States,Nevada,2015,41,X,0.397966,X,X,X,X,X,X,54,27,13569
States,New Hampshire,2015,41,X,0.17753,X,X,X,X,X,X,7,21,3943
States,New Jersey,2015,41,X,0.608305,X,X,X,X,X,X,23,14,3781
States,New Mexico,2015,41,X,0.906883,X,X,X,X,X,X,112,27,12350
States,New York,2015,41,X,0.557203,X,X,X,X,X,X,62,80,11127
States,North Carolina,2015,41,X,1.28871,X,X,X,X,X,X,196,50,15209
States,North Dakota,2015,41,X,0.211119,X,X,X,X,X,X,3,10,1421
States,Ohio,2015,41,X,0.650656,X,X,X,X,X,X,123,68,18904
States,Oklahoma,2015,41,X,2.1645,X,X,X,X,X,X,130,28,6006
States,Oregon,2015,41,X,0.889757,X,X,X,X,X,X,41,16,4608
States,Pennsylvania,2015,41,X,1.50744,X,X,X,X,X,X,228,53,15125
States,Rhode Island,2015,41,X,0.145864,X,X,X,X,X,X,7,16,4799
States,South Carolina,2015,41,X,0.874568,X,X,X,X,X,X,38,12,4345
States,South Dakota,2015,41,X,0.928495,X,X,X,X,X,X,87,34,9370
States,Tennessee,2015,41,X,0.604789,X,X,X,X,X,X,49,51,8102
States,Texas,2015,41,X,3.42995,X,X,X,X,X,X,1084,124,31604
States,Utah,2015,41,X,1.05639,X,X,X,X,X,X,204,44,19311
States,Vermont,2015,41,X,0.295334,X,X,X,X,X,X,10,10,3386
States,Virginia,2015,41,X,1.50892,X,X,X,X,X,X,1325,125,87811
States,Washington,2015,41,X,0.730327,X,X,X,X,X,X,40,46,5477
States,West Virginia,2015,41,X,0.978325,X,X,X,X,X,X,181,51,18501
States,Wisconsin,2015,41,X,1.7285,X,X,X,X,X,X,123,24,7116
States,Wyoming,2015,41,X,0.416336,X,X,X,X,X,X,21,23,5044
States,Alabama,2015,42,X,2.31635,X,X,X,X,X,X,251,29,10836
States,Alaska,2015,42,X,0.982659,X,X,X,X,X,X,17,7,1730
States,Arizona,2015,42,X,1.49271,X,X,X,X,X,X,396,56,26529
