REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2018,40,X,1.63142,X,X,X,X,X,X,638,78,39107
States,Georgia,2018,40,X,2.31987,X,X,X,X,X,X,1850,95,79746
States,Illinois,2018,40,X,0.79196,X,X,X,X,X,X,394,103,49750
States,New York,2018,40,X,0.965442,X,X,X,X,X,X,623,131,64530
States,North Carolina,2018,40,X,0.899763,X,X,X,X,X,X,969,153,107695
States,Texas,2018,40,X,2.57869,X,X,X,X,X,X,730,108,28309
States,Virginia,2018,40,X,1.52388,X,X,X,X,X,X,1373,128,90099
States,Wyoming,2018,40,X,1.70086,X,X,X,X,X,X,63,18,3704
States,Alabama,2018,41,X,1.73256,X,X,X,X,X,X,635,78,36651
States,Georgia,2018,41,X,2.39457,X,X,X,X,X,X,1830,96,76423
States,Illinois,2018,41,X,1.00549,X,X,X,X,X,X,493,106,49031
States,New York,2018,41,X,0.982257,X,X,X,X,X,X,661,133,67294
States,North Carolina,2018,41,X,1.04737,X,X,X,X,X,X,1131,156,107985
States,Texas,2018,41,X,2.12597,X,X,X,X,X,X,589,107,27705
States,Virginia,2018,41,X,1.65295,X,X,X,X,X,X,1490,130,90142
States,Wyoming,2018,41,X,1.60844,X,X,X,X,X,X,64,20,3979
States,Alabama,2018,42,X,1.83247,X,X,X,X,X,X,653,78,35635
States,Georgia,2018,42,X,2.62093,X,X,X,X,X,X,2067,98,78865
States,Illinois,2018,42,X,1.0392,X,X,X,X,X,X,518,104,49846
States,New York,2018,42,X,1.11036,X,X,X,X,X,X,706,132,63583
States,North Carolina,2018,42,X,1.15504,X,X,X,X,X,X,1257,157,108827
States,Texas,2018,42,X,2.2117,X,X,X,X,X,X,607,107,27445
States,Virginia,2018,42,X,1.96792,X,X,X,X,X,X,1715,130,87148
States,Wyoming,2018,42,X,0.995025,X,X,X,X,X,X,42,19,4221
States,Alabama,2018,43,X,2.22504,X,X,X,X,X,X,842,79,37842
States,Georgia,2018,43,X,2.95452,X,X,X,X,X,X,2338,99,79133
States,Illinois,2018,43,X,1.16002,X,X,X,X,X,X,579,104,49913
States,New York,2018,43,X,1.13688,X,X,X,X,X,X,700,133,61572
States,North Carolina,2018,43,X,1.37071,X,X,X,X,X,X,1424,158,103888
States,Texas,2018,43,X,2.47668,X,X,X,X,X,X,701,104,28304
States,Virginia,2018,43,X,1.88437,X,X,X,X,X,X,1632,137,86607
States,Wyoming,2018,43,X,0.897921,X,X,X,X,X,X,38,21,4232
States,Alabama,2018,44,X,2.2857,X,X,X,X,X,X,861,77,37669
States,Georgia,2018,44,X,3.32044,X,X,X,X,X,X,2626,97,79086
States,Illinois,2018,44,X,1.30534,X,X,X,X,X,X,656,105,50255
States,New York,2018,44,X,1.27259,X,X,X,X,X,X,786,133,61764
States,North Carolina,2018,44,X,1.45179,X,X,X,X,X,X,1539,158,106007
States,Texas,2018,44,X,2.91386,X,X,X,X,X,X,825,106,28313
States,Virginia,2018,44,X,2.05753,X,X,X,X,X,X,1819,136,88407
