REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2014,40,X,1.73174,X,X,X,X,X,X,220,26,12704
States,Alaska,2014,40,X,0.437445,X,X,X,X,X,X,5,7,1143
States,Arizona,2014,40,X,1.02937,X,X,X,X,X,X,299,59,29047
States,Arkansas,2014,40,X,1.07239,X,X,X,X,X,X,48,17,4476
States,California,2014,40,X,1.9089,X,X,X,X,X,X,831,129,43533
States,Colorado,2014,40,X,0.466945,X,X,X,X,X,X,19,6,4069
States,Connecticut,2014,40,X,1.48994,X,X,X,X,X,X,60,17,4027
States,Delaware,2014,40,X,0.0629723,X,X,X,X,X,X,1,7,1588
States,District of Columbia,2014,40,X,5.85054,X,X,X,X,X,X,119,2,2034
States,Georgia,2014,40,X,0.396825,X,X,X,X,X,X,95,34,23940
States,Hawaii,2014,40,X,4.81841,X,X,X,X,X,X,134,20,2781
States,Idaho,2014,40,X,1.14723,X,X,X,X,X,X,30,9,2615
States,Illinois,2014,40,X,1.47637,X,X,X,X,X,X,853,93,57777
States,Indiana,2014,40,X,0.514369,X,X,X,X,X,X,46,35,8943
States,Iowa,2014,40,X,0.254043,X,X,X,X,X,X,82,16,32278
States,Kansas,2014,40,X,0.498433,X,X,X,X,X,X,35,29,7022
States,Kentucky,2014,40,X,0.100271,X,X,X,X,X,X,20,17,19946
States,Louisiana,2014,40,X,1.7935,X,X,X,X,X,X,823,75,45888
States,Maine,2014,40,X,1.30226,X,X,X,X,X,X,76,29,5836
States,Maryland,2014,40,X,1.01115,X,X,X,X,X,X,107,20,10582
States,Massachusetts,2014,40,X,0.618429,X,X,X,X,X,X,170,47,27489
States,Michigan,2014,40,X,0.320957,X,X,X,X,X,X,51,42,15890
States,Minnesota,2014,40,X,0.766983,X,X,X,X,X,X,42,16,5476
States,Mississippi,2014,40,X,2.26715,X,X,X,X,X,X,453,50,19981
States,Missouri,2014,40,X,1.03915,X,X,X,X,X,X,86,23,8276
States,Montana,2014,40,X,0.096401,X,X,X,X,X,X,3,12,3112
States,Nebraska,2014,40,X,0.630564,X,X,X,X,X,X,17,16,2696
States,Nevada,2014,40,X,0.494334,X,X,X,X,X,X,65,29,13149
States,New Hampshire,2014,40,X,0.0233372,X,X,X,X,X,X,1,22,4285
States,New Jersey,2014,40,X,1.4055,X,X,X,X,X,X,114,22,8111
States,New Mexico,2014,40,X,1.34435,X,X,X,X,X,X,148,25,11009
States,New York,2014,40,X,0.693823,X,X,X,X,X,X,124,153,17872
States,North Carolina,2014,40,X,0.557937,X,X,X,X,X,X,82,44,14697
States,North Dakota,2014,40,X,0.416089,X,X,X,X,X,X,6,7,1442
States,Ohio,2014,40,X,0.392734,X,X,X,X,X,X,56,46,14259
States,Oklahoma,2014,40,X,1.85456,X,X,X,X,X,X,38,14,2049
